datetime,MAC Address,SSID,Signal Strength
12/03/2025 10:43:53,D0:4D:C6:F2:ED:B0,eduroam,-93
12/03/2025 10:43:53,1C:28:AF:5B:E5:50,eduroam,-89
12/03/2025 10:43:53,D0:4D:C6:F2:61:30,eduroam,-84
12/03/2025 10:43:53,1C:28:AF:62:01:D0,eduroam,-83
12/03/2025 10:43:53,1C:28:AF:62:11:F0,eduroam,-75
12/03/2025 10:43:53,1C:28:AF:5C:09:70,eduroam,-75
12/03/2025 10:43:53,1C:28:AF:5C:09:60,eduroam,-71
12/03/2025 10:43:53,D0:4D:C6:F2:EC:90,eduroam,-48
12/03/2025 10:43:53,D0:4D:C6:F2:EC:80,eduroam,-48
12/03/2025 10:43:53,1C:28:AF:62:11:E0,eduroam,-74
12/03/2025 10:43:58,D0:4D:C6:F2:ED:B0,eduroam,-93
12/03/2025 10:43:58,1C:28:AF:5B:E5:50,eduroam,-90
12/03/2025 10:43:58,D0:4D:C6:F2:61:30,eduroam,-86
12/03/2025 10:43:58,1C:28:AF:62:01:D0,eduroam,-84
12/03/2025 10:43:58,1C:28:AF:5C:09:70,eduroam,-76
12/03/2025 10:43:58,1C:28:AF:62:11:F0,eduroam,-74
12/03/2025 10:43:58,1C:28:AF:5C:09:60,eduroam,-70
12/03/2025 10:43:58,D0:4D:C6:F2:EC:80,eduroam,-50
12/03/2025 10:43:58,D0:4D:C6:F2:EC:90,eduroam,-48
12/03/2025 10:43:58,1C:28:AF:62:11:E0,eduroam,-74
12/03/2025 10:44:03,D0:4D:C6:F2:ED:B0,eduroam,-93
12/03/2025 10:44:03,1C:28:AF:5B:E5:50,eduroam,-91
12/03/2025 10:44:03,D0:4D:C6:F2:B2:B0,eduroam,-90
12/03/2025 10:44:03,D0:4D:C6:F2:61:30,eduroam,-83
12/03/2025 10:44:03,1C:28:AF:62:01:D0,eduroam,-83
12/03/2025 10:44:03,1C:28:AF:5C:09:70,eduroam,-76
12/03/2025 10:44:03,1C:28:AF:62:11:E0,eduroam,-74
12/03/2025 10:44:03,1C:28:AF:62:11:F0,eduroam,-74
12/03/2025 10:44:03,1C:28:AF:5C:09:60,eduroam,-70
12/03/2025 10:44:03,D0:4D:C6:F2:EC:90,eduroam,-48
12/03/2025 10:44:03,D0:4D:C6:F2:EC:80,eduroam,-48
12/03/2025 10:44:03,D0:4D:C6:F2:9D:F0,eduroam,-92
12/03/2025 10:44:09,D0:4D:C6:F2:ED:B0,eduroam,-92
12/03/2025 10:44:09,D0:4D:C6:F2:9D:F0,eduroam,-92
12/03/2025 10:44:09,D0:4D:C6:F2:C5:D0,eduroam,-91
12/03/2025 10:44:09,D0:4D:C6:F2:B2:B0,eduroam,-90
12/03/2025 10:44:09,1C:28:AF:5B:E5:50,eduroam,-89
12/03/2025 10:44:09,1C:28:AF:62:01:D0,eduroam,-84
12/03/2025 10:44:09,D0:4D:C6:F2:61:30,eduroam,-82
12/03/2025 10:44:09,1C:28:AF:62:11:F0,eduroam,-75
12/03/2025 10:44:09,1C:28:AF:62:11:E0,eduroam,-74
12/03/2025 10:44:09,1C:28:AF:5C:09:70,eduroam,-74
12/03/2025 10:44:09,1C:28:AF:5C:09:60,eduroam,-70
12/03/2025 10:44:09,D0:4D:C6:F2:EC:90,eduroam,-48
12/03/2025 10:44:09,D0:4D:C6:F2:EC:80,eduroam,-46
12/03/2025 10:44:09,1C:28:AF:66:4C:D0,eduroam,-92
12/03/2025 10:44:14,D0:4D:C6:F2:9D:F0,eduroam,-93
12/03/2025 10:44:14,D0:4D:C6:F2:ED:B0,eduroam,-92
12/03/2025 10:44:14,1C:28:AF:66:4C:D0,eduroam,-92
12/03/2025 10:44:14,D0:4D:C6:F2:C5:D0,eduroam,-91
