03/12/2025 11:58:20	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
03/12/2025 11:58:24	D0:4D:C6:F2:A2:B0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-94	3	"34"	"Ch 48 [5.240 GHz]"	""	"34 Stations, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"23%"
03/12/2025 11:58:24	D0:4D:C6:F2:A2:B2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-94	3	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"23%"
03/12/2025 11:58:24	D0:4D:C6:F2:FE:11	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-94	3	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"10%"
03/12/2025 11:58:24	D0:4D:C6:F2:A2:B1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-94	3	"1"	"Ch 48 [5.240 GHz]"	""	"1 Station, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"23%"
03/12/2025 11:58:24	D0:4D:C6:F2:FE:12	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-92	9	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"10%"
03/12/2025 11:58:24	D0:4D:C6:F2:BC:51	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-88	21	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"9%"
03/12/2025 11:58:24	D0:4D:C6:F2:BC:52	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-87	24	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"9%"
03/12/2025 11:58:24	D0:4D:C6:F2:BC:50	"Hewlett Packard Enterprise"	"eduroam"	""	""	-87	24	"2"	"Ch 153 [5.765 GHz]"	""	"2 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"9%"
03/12/2025 11:58:24	1C:28:AF:62:B8:B1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-86	27	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"1%"
03/12/2025 11:58:24	1C:28:AF:62:B8:B0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-85	30	"5"	"Ch 56 [5.280 GHz]"	""	"5 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"1%"
03/12/2025 11:58:24	D0:4D:C6:F2:B9:B0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-85	30	"0"	"Ch 161 [5.805 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"16%"
03/12/2025 11:58:24	D0:4D:C6:F2:B9:B2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-84	33	"0"	"Ch 161 [5.805 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"16%"
03/12/2025 11:58:24	1C:28:AF:62:B8:B2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-82	39	"0"	"Ch 56 [5.280 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"1%"
03/12/2025 11:58:24	1C:28:AF:62:B8:A1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-80	45	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"21%"
03/12/2025 11:58:24	1C:28:AF:62:B8:A2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-80	45	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"21%"
03/12/2025 11:58:24	D0:4D:C6:F2:F4:A1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-80	45	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 43% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"43%"
03/12/2025 11:58:24	1C:28:AF:62:B8:A0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-79	48	"2"	"Ch 6 [2.437 GHz]"	""	"2 Stations, 26% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"26%"
03/12/2025 11:58:24	D0:4D:C6:F2:F4:A2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-76	57	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 43% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"43%"
03/12/2025 11:58:24	D0:4D:C6:F2:B9:B1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 161 [5.805 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"16%"
03/12/2025 11:58:24	D0:4D:C6:F2:F4:B0	"Hewlett Packard Enterprise"	"eduroam"	""	"Connected AP"	-70	75	"13"	"Ch 40 [5.200 GHz]"	""	"13 Stations, 10% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"10%"
03/12/2025 11:58:24	D0:4D:C6:F2:F4:B2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-69	76	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"9%"
03/12/2025 11:58:24	D0:4D:C6:F2:F4:B1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-69	76	"0"	"Ch 40 [5.200 GHz]"	""	"0 Stations, 12% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"12%"
