03/12/2025 12:42:02	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
03/12/2025 12:42:06	D0:4D:C6:F2:50:11	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-82	39	"0"	"Ch 100 [5.500 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"4%"
03/12/2025 12:42:06	D0:4D:C6:F2:50:10	"Hewlett Packard Enterprise"	"eduroam"	""	""	-82	39	"8"	"Ch 100 [5.500 GHz]"	""	"8 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"4%"
03/12/2025 12:42:06	9E:1B:3C:73:AA:34	""	"iPhone 13"	""	""	-80	45	"1"	"Ch 44 [5.220 GHz]"	""	"1 Station"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	""
03/12/2025 12:42:06	1C:28:AF:5C:3A:00	"Hewlett Packard Enterprise"	"eduroam"	""	""	-79	48	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"21%"
03/12/2025 12:42:06	D0:4D:C6:F2:50:02	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-79	48	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	1C:28:AF:5C:3A:02	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-79	48	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"21%"
03/12/2025 12:42:06	1C:28:AF:5C:3A:01	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-79	48	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"21%"
03/12/2025 12:42:06	D0:4D:C6:F2:50:00	"Hewlett Packard Enterprise"	"eduroam"	""	""	-78	51	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	D0:4D:C6:F2:DD:E0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-78	51	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 45% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"45%"
03/12/2025 12:42:06	D0:4D:C6:F2:A8:C1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-78	51	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 14% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"14%"
03/12/2025 12:42:06	D0:4D:C6:F2:FA:00	"Hewlett Packard Enterprise"	"eduroam"	""	""	-77	54	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	D0:4D:C6:F2:99:50	"Hewlett Packard Enterprise"	"eduroam"	""	""	-77	54	"6"	"Ch 44 [5.220 GHz]"	""	"6 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"7%"
03/12/2025 12:42:06	D0:4D:C6:F2:A8:C2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-77	54	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 10% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"10%"
03/12/2025 12:42:06	D0:4D:C6:F2:FA:01	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-77	54	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	D0:4D:C6:F2:50:01	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-77	54	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	D0:4D:C6:F2:FA:02	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-75	60	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	D0:4D:C6:F2:66:D0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-75	60	"15"	"Ch 52 [5.260 GHz]"	""	"15 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"18%"
03/12/2025 12:42:06	D0:4D:C6:F2:FA:10	"Hewlett Packard Enterprise"	"eduroam"	""	""	-74	63	"5"	"Ch 136 [5.680 GHz]"	""	"5 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"7%"
03/12/2025 12:42:06	D0:4D:C6:F2:D2:C1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-74	63	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"11%"
03/12/2025 12:42:06	D0:4D:C6:F2:99:40	"Hewlett Packard Enterprise"	"eduroam"	""	""	-74	63	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"21%"
03/12/2025 12:42:06	D0:4D:C6:F2:66:D2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-74	63	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"18%"
03/12/2025 12:42:06	D0:4D:C6:F2:66:D1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-74	63	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 18% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"18%"
03/12/2025 12:42:06	D0:4D:C6:F2:99:41	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-73	66	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"23%"
03/12/2025 12:42:06	1C:28:AF:5C:3A:11	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-73	66	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"1%"
03/12/2025 12:42:06	D0:4D:C6:F2:99:42	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-73	66	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 21% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"21%"
03/12/2025 12:42:06	D0:4D:C6:F2:D2:C0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-73	66	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"11%"
03/12/2025 12:42:06	1C:28:AF:5C:42:91	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-72	69	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"2%"
03/12/2025 12:42:06	D0:4D:C6:F2:FA:12	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-72	69	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"7%"
03/12/2025 12:42:06	D0:4D:C6:F2:D2:C2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-72	69	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"11%"
03/12/2025 12:42:06	D0:4D:C6:F2:99:52	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-72	69	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"7%"
03/12/2025 12:42:06	D0:4D:C6:F2:66:C1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-72	69	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"19%"
03/12/2025 12:42:06	D0:4D:C6:F2:FA:11	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-71	72	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"7%"
