datetime,MAC Address,SSID,Signal Strength
03/12/2025 11:37:05,D0:4D:C6:F2:9A:70,eduroam,-95
03/12/2025 11:37:05,D0:4D:C6:F2:A9:90,eduroam,-92
03/12/2025 11:37:05,1C:28:AF:65:FE:10,eduroam,-89
03/12/2025 11:37:05,1C:28:AF:66:50:10,eduroam,-89
03/12/2025 11:37:05,1C:28:AF:66:11:D0,eduroam,-86
03/12/2025 11:37:05,1C:28:AF:66:28:10,eduroam,-86
03/12/2025 11:37:05,1C:28:AF:65:F5:D0,eduroam,-86
03/12/2025 11:37:05,1C:28:AF:5B:83:E0,eduroam,-85
03/12/2025 11:37:05,1C:28:AF:65:F5:C0,eduroam,-83
03/12/2025 11:37:05,1C:28:AF:66:75:60,eduroam,-83
03/12/2025 11:37:05,1C:28:AF:66:28:00,eduroam,-83
03/12/2025 11:37:05,1C:28:AF:66:50:00,eduroam,-82
03/12/2025 11:37:05,1C:28:AF:66:75:70,eduroam,-82
03/12/2025 11:37:05,D0:4D:C6:F3:14:C0,eduroam,-80
03/12/2025 11:37:05,1C:28:AF:66:11:C0,eduroam,-79
03/12/2025 11:37:05,1C:28:AF:66:4C:D0,eduroam,-78
03/12/2025 11:37:05,1C:28:AF:65:E9:40,eduroam,-78
03/12/2025 11:37:05,1C:28:AF:66:4C:C0,eduroam,-73
03/12/2025 11:37:05,1C:28:AF:65:E9:50,eduroam,-72
03/12/2025 11:37:05,1C:28:AF:65:D3:70,eduroam,-70
03/12/2025 11:37:05,1C:28:AF:66:2A:B0,eduroam,-69
03/12/2025 11:37:05,1C:28:AF:65:D3:60,eduroam,-66
03/12/2025 11:37:05,1C:28:AF:66:2A:A0,eduroam,-65
03/12/2025 11:37:05,D0:4D:C6:F2:9A:60,eduroam,-85
03/12/2025 11:37:05,1C:28:AF:65:FE:00,eduroam,-86
03/12/2025 11:37:10,D0:4D:C6:F2:9A:70,eduroam,-95
03/12/2025 11:37:10,D0:4D:C6:F2:A9:90,eduroam,-92
03/12/2025 11:37:10,1C:28:AF:66:50:10,eduroam,-90
